Trade Date,ISIN,Last Trade Price (in Rs.),Last Trade Value (Rs. in lacs),Total Trade Value (Rs. in lacs),Last Trade Yield (YTM) (Annualized) (%),Weighted Average Price  (Rs.),Weighted Average Yield (YTM) (%)
15-Dec-2017,INE871D07QS5 ,98.5500,153.00,478.00,8.1500,98.7200,8.1160
15-Dec-2017,INE296A07MK7 ,100.1058,1000.00,1000.00,7.8000,100.1058,7.8000
15-Dec-2017,INE093J07CH6 ,182.7000,25.00,25.00,0.0000,182.7000,0.0000
15-Dec-2017,INE202B07IN5 ,101.3500,70.00,70.00,8.7202,101.3500,8.7202
15-Dec-2017,INE053F07AC3 ,99.6400,5000.00,10000.00,7.3839,99.6600,7.3810
15-Dec-2017,INE062A08140 ,99.4468,5000.00,36500.00,8.5453,99.4388,8.5478
15-Dec-2017,INE975G08090 ,101.9000,10.00,10.00,11.7200,101.9000,11.7200
15-Dec-2017,INE565A09231 ,98.3500,500.00,500.00,10.8700,98.3500,10.8700
15-Dec-2017,INE721A07IO4 ,111.3700,20.00,20.00,7.8000,111.3700,7.8000
15-Dec-2017,INE523E08NH8 ,106.0500,10.00,10.00,8.2762,106.0500,8.2762
15-Dec-2017,INE340M08129 ,102.4700,30.00,30.00,9.1820,102.4700,9.1820
15-Dec-2017,INE134E08IW3 ,99.9871,2000.00,2000.00,7.5080,99.9871,7.5080
15-Dec-2017,INE688I08186 ,100.5400,50.00,50.00,8.5000,100.5400,8.5000
15-Dec-2017,INE756I08090 ,106.6100,1150.00,1150.00,8.2500,106.6100,8.2500
15-Dec-2017,INE306N08151 ,104.5000,20.00,20.00,8.3821,104.5000,8.3821
15-Dec-2017,INE296A08805 ,100.8900,500.00,500.00,8.2900,100.8900,8.2900
15-Dec-2017,INE148I07GF5 ,103.0514,1000.00,2000.00,7.9109,103.0558,7.9080
15-Dec-2017,INE804L08019 ,190.7630,4284.70,4284.70,24.0000,190.7630,24.0000
15-Dec-2017,INE115A07IF7 ,102.0952,500.00,1000.00,7.8700,102.0952,7.8700
15-Dec-2017,INE879Q08028 ,100.2500,1200.00,1200.00,17.1366,100.2500,17.1366
15-Dec-2017,INE092T08BS4 ,102.9246,1000.00,2000.00,8.1026,102.9246,8.1026
15-Dec-2017,INE217K07AD2 ,99.8003,2500.00,5000.00,8.9500,99.8003,8.9500
15-Dec-2017,INE148I08215 ,104.8200,20.00,20.00,8.4600,104.8200,8.4600
15-Dec-2017,INE001A07RC7 ,99.1658,2500.00,2500.00,7.7150,99.1658,7.7150
15-Dec-2017,INE202B07HU2 ,101.7800,430.00,430.00,8.7800,101.7800,8.7800
