"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INDIGO","EQ","11-Dec-2017","       1182.80","       1187.95","       1199.00","       1173.25","       1192.75","       1193.45","       1190.51","     359375","           427839793.80","      11853","     156543","         43.56"
"INDIGO","EQ","12-Dec-2017","       1193.45","       1192.75","       1192.75","       1159.05","       1171.20","       1180.25","       1171.86","     689037","           807454840.65","      30103","     454084","         65.90"
"INDIGO","EQ","13-Dec-2017","       1180.25","       1153.05","       1157.45","       1134.00","       1135.00","       1135.55","       1144.03","     610572","           698511756.95","      14738","     174499","         28.58"
"INDIGO","EQ","14-Dec-2017","       1135.55","       1140.00","       1145.45","       1129.00","       1139.00","       1138.35","       1138.10","     634795","           722462939.05","      25698","     400705","         63.12"
"INDIGO","EQ","15-Dec-2017","       1138.35","       1137.00","       1149.00","       1125.10","       1135.25","       1134.15","       1138.06","     580267","           660378911.70","      25198","     327502","         56.44"
"INDIGO","EQ","18-Dec-2017","       1134.15","       1130.00","       1149.50","       1114.25","       1138.30","       1141.50","       1139.11","     565624","           644309549.90","      25626","     296398","         52.40"
"INDIGO","EQ","19-Dec-2017","       1141.50","       1141.00","       1164.50","       1140.50","       1157.90","       1157.70","       1150.77","     571086","           657190389.85","      30439","     367570","         64.36"
"INDIGO","EQ","20-Dec-2017","       1157.70","       1159.90","       1172.90","       1153.15","       1170.00","       1166.30","       1166.88","     709113","           827452959.05","      34990","     477396","         67.32"
"INDIGO","EQ","21-Dec-2017","       1166.30","       1170.10","       1174.20","       1135.65","       1141.40","       1139.00","       1150.78","     459535","           528822007.05","      28357","     269164","         58.57"
"INDIGO","EQ","22-Dec-2017","       1139.00","       1144.25","       1185.95","       1144.00","       1181.95","       1179.80","       1170.17","     859035","          1005216006.10","      35062","     466215","         54.27"
"INDIGO","EQ","26-Dec-2017","       1179.80","       1181.00","       1213.70","       1178.00","       1203.40","       1201.95","       1204.03","    1465640","          1764671953.30","      68287","     717202","         48.93"
"INDIGO","EQ","27-Dec-2017","       1201.95","       1202.00","       1228.90","       1186.25","       1214.00","       1219.95","       1215.92","    1223387","          1487541949.00","      39566","     689566","         56.37"
"INDIGO","EQ","28-Dec-2017","       1219.95","       1219.00","       1223.55","       1194.10","       1206.55","       1207.30","       1208.08","     510136","           616287389.50","      16897","     184211","         36.11"
"INDIGO","EQ","29-Dec-2017","       1207.30","       1205.00","       1222.00","       1202.30","       1203.00","       1205.50","       1208.99","     356824","           431398355.10","      20189","     160011","         44.84"
"INDIGO","EQ","01-Jan-2018","       1205.50","       1205.95","       1219.40","       1196.80","       1198.00","       1203.00","       1209.47","     287162","           347314670.15","       9510","     116599","         40.60"
"INDIGO","EQ","02-Jan-2018","       1203.00","       1209.00","       1209.50","       1178.00","       1208.00","       1201.40","       1195.73","     564507","           675000577.25","      24422","     319058","         56.52"
"INDIGO","EQ","03-Jan-2018","       1201.40","       1196.05","       1213.15","       1196.05","       1210.00","       1208.40","       1203.75","     402883","           484971606.85","      39331","     172224","         42.75"
"INDIGO","EQ","04-Jan-2018","       1208.40","       1209.95","       1219.85","       1205.40","       1210.50","       1213.65","       1213.49","     330334","           400856026.00","      15161","     170367","         51.57"
"INDIGO","EQ","05-Jan-2018","       1213.65","       1204.00","       1213.60","       1193.20","       1197.00","       1198.60","       1202.23","     267769","           321920966.20","      14610","     111322","         41.57"
"INDIGO","EQ","08-Jan-2018","       1198.60","       1198.95","       1228.50","       1190.05","       1223.00","       1225.20","       1219.66","     547692","           667997829.40","      17320","     193673","         35.36"
"INDIGO","EQ","09-Jan-2018","       1225.20","       1225.00","       1240.00","       1215.90","       1227.35","       1227.10","       1224.88","     311141","           381109100.20","      10605","     114575","         36.82"
"INDIGO","EQ","10-Jan-2018","       1227.10","       1240.55","       1256.00","       1228.30","       1236.85","       1239.15","       1242.76","    1272608","          1581545311.20","      40818","     561142","         44.09"
"INDIGO","EQ","11-Jan-2018","       1239.15","       1237.00","       1249.60","       1229.00","       1230.00","       1235.65","       1239.76","     256722","           318273787.55","      20674","      98928","         38.54"
"INDIGO","EQ","12-Jan-2018","       1235.65","       1231.00","       1242.70","       1219.00","       1232.00","       1234.00","       1234.30","     261753","           323080918.05","      12735","     119301","         45.58"
"INDIGO","EQ","15-Jan-2018","       1234.00","       1240.00","       1248.00","       1216.05","       1224.00","       1223.80","       1235.81","     230413","           284746405.70","      14592","      87256","         37.87"
"INDIGO","EQ","16-Jan-2018","       1223.80","       1224.30","       1229.95","       1175.30","       1181.25","       1181.90","       1205.59","     561337","           676744656.05","      15458","     335853","         59.83"
"INDIGO","EQ","17-Jan-2018","       1181.90","       1180.00","       1208.80","       1178.50","       1198.00","       1200.60","       1197.37","     316498","           378964813.45","      16523","     147871","         46.72"
"INDIGO","EQ","18-Jan-2018","       1200.60","       1204.75","       1205.80","       1176.60","       1191.35","       1191.30","       1191.20","     204291","           243350563.70","      17489","      81766","         40.02"
"INDIGO","EQ","19-Jan-2018","       1191.30","       1190.90","       1215.00","       1182.00","       1209.50","       1210.60","       1199.59","     209948","           251851127.55","      17189","      89547","         42.65"
"INDIGO","EQ","22-Jan-2018","       1210.60","       1210.60","       1210.60","       1188.15","       1193.00","       1198.15","       1198.47","     281928","           337881652.20","      22800","     121858","         43.22"
"INDIGO","EQ","23-Jan-2018","       1198.15","       1200.90","       1245.05","       1188.65","       1192.20","       1192.10","       1218.77","    1176930","          1434405327.95","      54919","     715927","         60.83"
"INDIGO","EQ","24-Jan-2018","       1192.10","       1201.00","       1264.50","       1194.00","       1260.00","       1237.70","       1226.80","    1199288","          1471282782.85","      37783","     399752","         33.33"
"INDIGO","EQ","25-Jan-2018","       1237.70","       1279.00","       1279.00","       1226.35","       1233.60","       1238.05","       1243.78","    2199086","          2735169201.80","      67358","     837337","         38.08"
"INDIGO","EQ","29-Jan-2018","       1238.05","       1235.00","       1236.05","       1195.00","       1196.00","       1200.40","       1217.35","     350043","           426125147.35","      23365","     167869","         47.96"
"INDIGO","EQ","30-Jan-2018","       1200.40","       1201.00","       1226.25","       1200.00","       1208.20","       1213.10","       1211.03","     780898","           945689696.40","      25499","     499964","         64.02"
"INDIGO","EQ","31-Jan-2018","       1213.10","       1213.00","       1225.00","       1203.25","       1213.65","       1214.95","       1212.68","     393839","           477601246.05","      20681","     191010","         48.50"
"INDIGO","EQ","01-Feb-2018","       1214.95","       1220.00","       1233.90","       1197.20","       1220.00","       1216.80","       1217.86","     544967","           663691475.20","      27452","     209946","         38.52"
"INDIGO","EQ","02-Feb-2018","       1216.80","       1210.00","       1210.00","       1155.00","       1162.00","       1177.80","       1185.83","     894858","          1061149194.70","      40440","     476676","         53.27"
"INDIGO","EQ","05-Feb-2018","       1177.80","       1159.30","       1208.45","       1149.00","       1192.00","       1200.20","       1179.63","     422286","           498142805.40","      19047","     161645","         38.28"
"INDIGO","EQ","06-Feb-2018","       1200.20","       1155.00","       1211.00","       1145.00","       1192.05","       1199.40","       1184.84","     451532","           534995172.20","      24832","     190955","         42.29"
"INDIGO","EQ","07-Feb-2018","       1199.40","       1214.45","       1222.00","       1192.05","       1213.00","       1211.90","       1208.92","     409401","           494933947.65","      19406","     169685","         41.45"
"INDIGO","EQ","08-Feb-2018","       1211.90","       1225.00","       1293.50","       1216.55","       1251.50","       1255.90","       1268.27","    1329062","          1685604605.55","      37893","     480948","         36.19"
"INDIGO","EQ","09-Feb-2018","       1255.90","       1242.00","       1262.15","       1230.00","       1258.30","       1258.65","       1250.14","     690826","           863625793.80","      44878","     277517","         40.17"
"INDIGO","EQ","12-Feb-2018","       1258.65","       1238.15","       1272.90","       1237.00","       1250.00","       1250.85","       1254.65","     827507","          1038228278.25","      40214","     313206","         37.85"
"INDIGO","EQ","14-Feb-2018","       1250.85","       1242.00","       1300.60","       1241.50","       1273.75","       1274.95","       1283.63","     895835","          1149920368.05","      36849","     309021","         34.50"
"INDIGO","EQ","15-Feb-2018","       1274.95","       1280.00","       1294.00","       1255.00","       1257.00","       1262.00","       1274.08","     565530","           720532008.85","      20617","     225620","         39.90"
"INDIGO","EQ","16-Feb-2018","       1262.00","       1261.50","       1279.00","       1255.05","       1267.00","       1264.65","       1267.24","     476654","           604037288.30","      18179","     215527","         45.22"
"INDIGO","EQ","19-Feb-2018","       1264.65","       1278.00","       1295.95","       1260.75","       1282.00","       1282.65","       1280.05","     731518","           936382792.40","      30502","     238924","         32.66"
"INDIGO","EQ","20-Feb-2018","       1282.65","       1294.00","       1294.00","       1261.25","       1263.00","       1265.15","       1271.48","     517034","           657399940.75","      22819","     280006","         54.16"
"INDIGO","EQ","21-Feb-2018","       1265.15","       1274.00","       1286.00","       1261.05","       1270.00","       1274.00","       1271.92","     592221","           753259525.80","      27872","     349679","         59.05"
"INDIGO","EQ","22-Feb-2018","       1274.00","       1260.00","       1288.90","       1255.60","       1274.90","       1275.45","       1273.64","     663776","           845409904.80","      34927","     419349","         63.18"
"INDIGO","EQ","23-Feb-2018","       1275.45","       1275.05","       1292.00","       1265.00","       1290.00","       1285.00","       1282.60","     642218","           823707486.55","      57187","     363854","         56.66"
"INDIGO","EQ","26-Feb-2018","       1285.00","       1298.00","       1352.40","       1290.05","       1335.05","       1337.95","       1338.66","    1796314","          2404655794.85","      73798","     914160","         50.89"
"INDIGO","EQ","27-Feb-2018","       1337.95","       1346.95","       1357.15","       1326.15","       1337.90","       1337.45","       1339.42","     822147","          1101198207.80","      33907","     368675","         44.84"
"INDIGO","EQ","28-Feb-2018","       1337.45","       1323.00","       1350.00","       1315.85","       1339.00","       1335.70","       1335.63","     686740","           917227895.85","      29612","     335928","         48.92"
"INDIGO","EQ","01-Mar-2018","       1335.70","       1339.00","       1345.00","       1323.05","       1333.05","       1332.15","       1331.32","     359106","           478083650.80","      20295","     159429","         44.40"
"INDIGO","EQ","05-Mar-2018","       1332.15","       1340.00","       1350.00","       1300.00","       1308.95","       1309.10","       1320.19","    1426225","          1882887710.15","      43739","    1091111","         76.50"
"INDIGO","EQ","06-Mar-2018","       1309.10","       1316.00","       1322.15","       1275.00","       1280.10","       1283.50","       1299.41","     758736","           985910389.90","      44695","     488748","         64.42"
"INDIGO","EQ","07-Mar-2018","       1283.50","       1278.00","       1291.55","       1261.90","       1282.00","       1278.00","       1277.06","     596396","           761634896.20","      26384","     273752","         45.90"
"INDIGO","EQ","08-Mar-2018","       1278.00","       1275.10","       1300.95","       1224.15","       1278.90","       1288.95","       1250.56","    2634241","          3294288998.45","      35645","    1953779","         74.17"
"INDIGO","EQ","09-Mar-2018","       1288.95","       1286.00","       1301.50","       1265.65","       1289.50","       1289.60","       1290.48","     366280","           472678276.95","      26217","     120640","         32.94"
"INDIGO","EQ","12-Mar-2018","       1289.60","       1291.10","       1319.40","       1255.05","       1277.00","       1276.70","       1291.87","     696943","           900361126.20","      36659","     233777","         33.54"
"INDIGO","EQ","13-Mar-2018","       1276.70","       1251.10","       1310.00","       1240.00","       1302.00","       1301.60","       1269.87","    1562665","          1984375865.75","      56183","     531250","         34.00"
"INDIGO","EQ","14-Mar-2018","       1301.60","       1297.00","       1297.00","       1231.00","       1266.95","       1269.20","       1275.84","     759473","           968964007.35","      26767","     304308","         40.07"
