"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SBIN","EQ","15-Mar-2016","        181.75","        181.65","        186.20","        181.65","        185.05","        185.30","        184.71","   22369600","          4131972680.70","     154226","    6779447","         30.31"
"SBIN","N5","15-Mar-2016","      11673.47","      10675.00","      10793.00","      10675.00","      10774.99","      10764.07","      10764.18","       1601","            17233447.34","        134","       1457","         91.01"
"SBIN","EQ","16-Mar-2016","        185.30","        185.00","        185.90","        181.60","        185.60","        185.20","        184.15","   19237834","          3542620830.15","     107162","    4673661","         24.29"
"SBIN","N2","16-Mar-2016","      11323.50","      10400.00","      10400.00","      10400.00","      10400.00","      10400.00","      10400.00","          2","               20800.00","          1","          2","        100.00"
"SBIN","N5","16-Mar-2016","      10764.07","      10770.00","      10829.00","      10770.00","      10809.00","      10823.01","      10811.13","       1461","            15795067.09","        212","       1408","         96.37"
"SBIN","N6","16-Mar-2016","      11159.09","      10450.00","      10450.00","      10450.00","      10450.00","      10450.00","      10450.00","          2","               20900.00","          1","          2","        100.00"
"SBIN","EQ","17-Mar-2016","        185.20","        188.00","        189.30","        185.00","        185.20","        186.35","        187.64","   21560986","          4045649929.65","     140622","    6997724","         32.46"
"SBIN","N2","17-Mar-2016","      10400.00","      10500.00","      10501.00","      10400.00","      10480.00","      10480.00","      10431.36","         14","              146039.00","          9","         14","        100.00"
"SBIN","N5","17-Mar-2016","      10823.01","      10823.05","      10950.00","      10823.05","      10950.00","      10938.99","      10901.22","        729","             7946992.57","        125","        683","         93.69"
"SBIN","EQ","18-Mar-2016","        186.35","        186.85","        192.00","        186.00","        191.50","        191.25","        189.06","   21144216","          3997511142.15","     134926","    6611156","         31.27"
"SBIN","N2","18-Mar-2016","      10480.00","      10401.00","      10600.00","      10401.00","      10600.00","      10600.00","      10434.17","         12","              125210.00","          2","         12","        100.00"
"SBIN","N5","18-Mar-2016","      10938.99","      10900.00","      11007.99","      10900.00","      10999.00","      10998.28","      10973.73","        529","             5805105.66","         75","        436","         82.42"
"SBIN","N6","18-Mar-2016","      10450.00","      10251.60","      10750.00","      10251.60","      10750.00","      10750.00","      10625.32","         10","              106253.20","          4","         10","        100.00"
"SBIN","EQ","21-Mar-2016","        191.25","        193.00","        197.30","        193.00","        197.05","        196.80","        195.30","   20678069","          4038513853.50","     143523","    6513731","         31.50"
"SBIN","N2","21-Mar-2016","      10600.00","      10300.00","      10700.00","      10300.00","      10700.00","      10700.00","      10500.00","         12","              126000.00","          5","         12","        100.00"
"SBIN","N5","21-Mar-2016","      10998.28","      11100.00","      11197.00","      11100.00","      11180.00","      11175.50","      11169.19","        614","             6857881.03","         91","        505","         82.25"
"SBIN","EQ","22-Mar-2016","        196.80","        196.80","        198.25","        194.50","        197.90","        197.50","        196.38","   16728809","          3285173329.40","     116859","    3908068","         23.36"
"SBIN","N2","22-Mar-2016","      10700.00","      10800.00","      10800.00","      10800.00","      10800.00","      10800.00","      10800.00","         22","              237600.00","          6","         22","        100.00"
"SBIN","N5","22-Mar-2016","      11175.50","      11197.00","      11200.00","      11150.00","      11172.00","      11172.73","      11183.87","        335","             3746595.58","         64","        329","         98.21"
"SBIN","EQ","23-Mar-2016","        197.50","        196.90","        197.60","        195.30","        196.25","        196.60","        196.39","   13362780","          2624328980.40","      79259","    3499361","         26.19"
"SBIN","N2","23-Mar-2016","      10800.00","      10800.00","      10800.00","      10700.00","      10700.00","      10700.00","      10702.34","        111","             1187960.00","          6","        101","         90.99"
"SBIN","N5","23-Mar-2016","      11172.73","      11200.00","      11249.15","      11200.00","      11249.14","      11225.34","      11208.82","        186","             2084840.52","         34","        175","         94.09"
"SBIN","EQ","28-Mar-2016","        196.60","        195.80","        198.25","        187.65","        188.70","        188.30","        192.01","   19760603","          3794322276.50","     122344","    7729975","         39.12"
"SBIN","N2","28-Mar-2016","      10700.00","      11200.00","      11200.00","      11200.00","      11200.00","      11200.00","      11200.00","         10","              112000.00","          3","         10","        100.00"
"SBIN","N5","28-Mar-2016","      11225.34","      11210.00","      11210.00","      10803.00","      10803.00","      10827.67","      10929.38","       2090","            22842398.57","        166","       1901","         90.96"
"SBIN","EQ","29-Mar-2016","        188.30","        188.50","        191.25","        186.65","        189.30","        189.50","        189.51","   16804848","          3184611760.10","      97810","    3973615","         23.65"
"SBIN","N2","29-Mar-2016","      11200.00","      10661.00","      11049.00","      10661.00","      10970.00","      10970.00","      10718.92","         60","              643135.00","          5","         58","         96.67"
"SBIN","N5","29-Mar-2016","      10827.67","      10956.00","      10999.00","      10820.00","      10837.15","      10845.51","      10849.12","        641","             6954288.09","         93","        628","         97.97"
"SBIN","EQ","30-Mar-2016","        189.50","        192.25","        198.30","        190.50","        197.05","        197.55","        194.81","   20709407","          4034427688.15","     126461","    4691725","         22.66"
"SBIN","N5","30-Mar-2016","      10845.51","      10835.00","      10884.00","      10835.00","      10879.99","      10879.63","      10853.42","        496","             5383296.15","         58","        496","        100.00"
"SBIN","EQ","31-Mar-2016","        197.55","        197.85","        198.75","        192.35","        194.00","        194.25","        195.64","   30132473","          5894972138.00","     149396","   12518461","         41.54"
"SBIN","N5","31-Mar-2016","      10879.63","      10901.00","      10949.00","      10900.00","      10949.00","      10941.14","      10927.49","        231","             2524250.11","         13","        231","        100.00"
"SBIN","N6","31-Mar-2016","      10750.00","      10890.00","      10890.00","      10890.00","      10890.00","      10890.00","      10890.00","          1","               10890.00","          1","          1","        100.00"
"SBIN","EQ","01-Apr-2016","        194.25","        193.70","        197.25","        192.00","        195.25","        195.65","        195.16","   21752206","          4245259280.20","     115244","    6555959","         30.14"
"SBIN","N2","01-Apr-2016","      10970.00","      10800.00","      10800.00","      10800.00","      10800.00","      10800.00","      10800.00","          2","               21600.00","          1","          2","        100.00"
"SBIN","N5","01-Apr-2016","      10941.14","      10944.99","      10982.20","      10944.99","      10982.20","      10980.55","      10976.04","        237","             2601320.80","         40","        231","         97.47"
"SBIN","EQ","04-Apr-2016","        195.65","        197.30","        197.45","        192.55","        194.75","        194.70","        194.94","   15732565","          3066858073.50","      97228","    4957251","         31.51"
"SBIN","N2","04-Apr-2016","      10800.00","      10800.00","      10900.00","      10675.00","      10900.00","      10900.00","      10703.83","         53","              567303.00","          7","         50","         94.34"
"SBIN","N5","04-Apr-2016","      10980.55","      10980.00","      11101.00","      10980.00","      11080.01","      11087.88","      11065.93","        850","             9406041.25","         99","        790","         92.94"
"SBIN","EQ","05-Apr-2016","        194.70","        193.90","        194.55","        183.30","        183.75","        184.35","        189.13","   36635637","          6928984285.10","     225354","    9409530","         25.68"
"SBIN","N2","05-Apr-2016","      10900.00","      10725.00","      10725.00","      10725.00","      10725.00","      10725.00","      10725.00","          1","               10725.00","          1","          1","        100.00"
"SBIN","N5","05-Apr-2016","      11087.88","      11050.00","      11140.00","      11020.00","      11090.00","      11084.47","      11077.89","        630","             6979071.68","         89","        518","         82.22"
"SBIN","N6","05-Apr-2016","      10890.00","      10750.00","      10750.00","      10740.00","      10740.00","      10740.00","      10745.00","          2","               21490.00","          2","          2","        100.00"
"SBIN","EQ","06-Apr-2016","        184.35","        185.00","        185.50","        182.20","        183.80","        183.85","        184.04","   16350631","          3009183153.20","     118379","    3029153","         18.53"
"SBIN","N5","06-Apr-2016","      11084.47","      11050.00","      11131.00","      11050.00","      11125.00","      11128.15","      11110.31","        619","             6877280.12","         67","        608","         98.22"
"SBIN","EQ","07-Apr-2016","        183.85","        183.80","        185.65","        181.00","        182.00","        181.95","        183.24","   19430601","          3560435990.20","     128307","    3728079","         19.19"
"SBIN","N5","07-Apr-2016","      11128.15","      11165.00","      11165.00","      11125.00","      11155.00","      11154.71","      11141.79","        435","             4846678.70","         47","        430","         98.85"
"SBIN","N6","07-Apr-2016","      10740.00","      10750.00","      10750.00","      10675.00","      10724.99","      10724.99","      10728.40","         22","              236024.84","          6","         21","         95.45"
"SBIN","EQ","08-Apr-2016","        181.95","        181.65","        183.95","        180.20","        183.45","        183.10","        182.68","   15805231","          2887350774.35","     106622","    3846954","         24.34"
"SBIN","N2","08-Apr-2016","      10725.00","      11000.00","      11000.00","      10875.00","      10875.00","      10875.00","      10888.16","         19","              206875.00","          7","         19","        100.00"
"SBIN","N5","08-Apr-2016","      11154.71","      11137.00","      11200.00","      11110.00","      11175.00","      11175.00","      11144.15","        157","             1749631.23","         40","        148","         94.27"
"SBIN","EQ","11-Apr-2016","        183.10","        183.85","        188.90","        182.00","        188.45","        188.25","        185.17","   18990364","          3516413527.90","     106419","    5162794","         27.19"
"SBIN","N2","11-Apr-2016","      10875.00","      10875.00","      10875.00","      10875.00","      10875.00","      10875.00","      10875.00","          1","               10875.00","          1","          1","        100.00"
